,s,d,count,percent
331,9-10,70-80,0.0,0.0
332,9-10,80-90,0.0,0.0
333,9-10,90-100,0.0,0.0
334,9-10,100-110,0.0,0.0
335,9-10,110-120,0.0,0.0
336,9-10,120-130,0.0,0.0
337,9-10,130-140,0.0,0.0
338,9-10,140-150,1.0,0.00034328870580157915
339,9-10,150-160,1.0,0.00034328870580157915
340,9-10,160-170,2.0,0.0006865774116031583
341,9-10,170-180,0.0,0.0
342,9-10,180-190,0.0,0.0
343,9-10,190-200,3.0,0.0010298661174047373
344,9-10,200-210,2.0,0.0006865774116031583
345,9-10,210-220,0.0,0.0
346,9-10,220-230,1.0,0.00034328870580157915
347,9-10,230-240,0.0,0.0
348,9-10,240-250,1.0,0.00034328870580157915
349,9-10,250-260,0.0,0.0
350,9-10,260-270,4.0,0.0013731548232063166
351,9-10,270-280,2.0,0.0006865774116031583
352,9-10,280-290,0.0,0.0
353,9-10,290-300,0.0,0.0
354,9-10,300-310,1.0,0.00034328870580157915
355,9-10,310-320,2.0,0.0006865774116031583
356,9-10,320-330,0.0,0.0
357,9-10,330-340,4.0,0.0013731548232063166
358,9-10,340-350,4.0,0.0013731548232063166
359,9-10,350-360,15.0,0.005149330587023687
360,10-11,0-10,6.0,0.0020597322348094747
361,10-11,10-20,0.0,0.0
362,10-11,20-30,0.0,0.0
363,10-11,30-40,0.0,0.0
364,10-11,40-50,0.0,0.0
365,10-11,50-60,0.0,0.0
366,10-11,60-70,1.0,0.00034328870580157915
367,10-11,70-80,0.0,0.0
368,10-11,80-90,0.0,0.0
369,10-11,90-100,0.0,0.0
370,10-11,100-110,0.0,0.0
371,10-11,110-120,0.0,0.0
372,10-11,120-130,0.0,0.0
373,10-11,130-140,0.0,0.0
374,10-11,140-150,0.0,0.0
375,10-11,150-160,0.0,0.0
376,10-11,160-170,0.0,0.0
377,10-11,170-180,2.0,0.0006865774116031583
378,10-11,180-190,0.0,0.0
379,10-11,190-200,2.0,0.0006865774116031583
380,10-11,200-210,0.0,0.0
381,10-11,210-220,2.0,0.0006865774116031583
382,10-11,220-230,0.0,0.0
383,10-11,230-240,0.0,0.0
384,10-11,240-250,1.0,0.00034328870580157915
385,10-11,250-260,5.0,0.0017164435290078957
386,10-11,260-270,3.0,0.0010298661174047373
387,10-11,270-280,1.0,0.00034328870580157915
388,10-11,280-290,2.0,0.0006865774116031583
389,10-11,290-300,1.0,0.00034328870580157915
390,10-11,300-310,1.0,0.00034328870580157915
391,10-11,310-320,1.0,0.00034328870580157915
392,10-11,320-330,0.0,0.0
393,10-11,330-340,1.0,0.00034328870580157915
394,10-11,340-350,2.0,0.0006865774116031583
395,10-11,350-360,10.0,0.0034328870580157913
396,11-12,0-10,2.0,0.0006865774116031583
397,11-12,10-20,0.0,0.0
398,11-12,20-30,0.0,0.0
399,11-12,30-40,0.0,0.0
400,11-12,40-50,0.0,0.0
401,11-12,50-60,0.0,0.0
402,11-12,60-70,0.0,0.0
403,11-12,70-80,0.0,0.0
