Variable,date,Hour,Value
speed,23-01-2015,05:00,4.5
direction,23-01-2015,05:00,70
speed,23-01-2015,08:00,4.5
direction,23-01-2015,08:00,70
speed,23-01-2015,11:00,4
direction,23-01-2015,11:00,90
speed,23-01-2015,14:00,6
direction,23-01-2015,14:00,70
speed,23-01-2015,17:00,3.5
direction,23-01-2015,17:00,70
speed,23-01-2015,20:00,5
direction,23-01-2015,20:00,70
speed,23-01-2015,23:00,5
direction,23-01-2015,23:00,70
speed,24-01-2015,02:00,5.5
direction,24-01-2015,02:00,70
speed,24-01-2015,05:00,5.5
direction,24-01-2015,05:00,70
speed,24-01-2015,08:00,6
direction,24-01-2015,08:00,70
speed,24-01-2015,11:00,7
direction,24-01-2015,11:00,70
speed,24-01-2015,14:00,4
direction,24-01-2015,14:00,80
speed,24-01-2015,17:00,4.5
direction,24-01-2015,17:00,80
speed,24-01-2015,20:00,2
direction,24-01-2015,20:00,120
speed,24-01-2015,23:00,1.5
direction,24-01-2015,23:00,110
speed,25-01-2015,02:00,3.5
direction,25-01-2015,02:00,120
speed,25-01-2015,05:00,2.5
direction,25-01-2015,05:00,120
speed,25-01-2015,08:00,1
direction,25-01-2015,08:00,110
speed,25-01-2015,11:00,2.5
direction,25-01-2015,11:00,220
speed,25-01-2015,14:00,2
direction,25-01-2015,14:00,240
speed,25-01-2015,17:00,1
direction,25-01-2015,17:00,280
speed,25-01-2015,20:00,1
direction,25-01-2015,20:00,100
speed,25-01-2015,23:00,1.5
direction,25-01-2015,23:00,70
speed,26-01-2015,02:00,1.5
direction,26-01-2015,02:00,120
speed,26-01-2015,05:00,2.5
direction,26-01-2015,05:00,120
speed,26-01-2015,08:00,1
direction,26-01-2015,08:00,100
speed,26-01-2015,11:00,1
direction,26-01-2015,11:00,270
speed,26-01-2015,14:00,6.5
direction,26-01-2015,14:00,340
speed,26-01-2015,17:00,7
direction,26-01-2015,17:00,360
speed,26-01-2015,20:00,2
direction,26-01-2015,20:00,70
speed,26-01-2015,23:00,2.5
direction,26-01-2015,23:00,70
speed,27-01-2015,02:00,1
direction,27-01-2015,02:00,80
speed,27-01-2015,05:00,2.5
direction,27-01-2015,05:00,70
speed,27-01-2015,08:00,2.5
direction,27-01-2015,08:00,60
speed,27-01-2015,11:00,5.5
direction,27-01-2015,11:00,60
speed,27-01-2015,14:00,4
direction,27-01-2015,14:00,70
speed,27-01-2015,17:00,2
direction,27-01-2015,17:00,30
speed,27-01-2015,20:00,3
direction,27-01-2015,20:00,70
speed,27-01-2015,23:00,4
direction,27-01-2015,23:00,70
speed,28-01-2015,02:00,2
direction,28-01-2015,02:00,60
speed,28-01-2015,05:00,1.5
direction,28-01-2015,05:00,120
speed,28-01-2015,08:00,3.5
direction,28-01-2015,08:00,150
speed,28-01-2015,11:00,11
direction,28-01-2015,11:00,360
speed,28-01-2015,14:00,7
direction,28-01-2015,14:00,350
speed,28-01-2015,17:00,1
direction,28-01-2015,17:00,60
speed,28-01-2015,20:00,3
direction,28-01-2015,20:00,150
speed,28-01-2015,23:00,2
direction,28-01-2015,23:00,140
speed,29-01-2015,02:00,2.5
direction,29-01-2015,02:00,120
speed,29-01-2015,05:00,2.5
direction,29-01-2015,05:00,120
speed,29-01-2015,08:00,2.5
direction,29-01-2015,08:00,110
speed,29-01-2015,11:00,3.5
direction,29-01-2015,11:00,180
speed,29-01-2015,14:00,3.5
direction,29-01-2015,14:00,250
speed,29-01-2015,17:00,2.5
direction,29-01-2015,17:00,250
speed,29-01-2015,20:00,1.5
direction,29-01-2015,20:00,140
speed,29-01-2015,23:00,2.5
direction,29-01-2015,23:00,110
speed,30-01-2015,02:00,3
direction,30-01-2015,02:00,120
speed,30-01-2015,05:00,5.5
direction,30-01-2015,05:00,150
speed,30-01-2015,08:00,8.5
direction,30-01-2015,08:00,180
speed,30-01-2015,11:00,8
direction,30-01-2015,11:00,230
speed,30-01-2015,14:00,7.5
direction,30-01-2015,14:00,230
speed,30-01-2015,17:00,6.5
direction,30-01-2015,17:00,220
speed,30-01-2015,20:00,2.5
direction,30-01-2015,20:00,130
speed,30-01-2015,23:00,2.5
direction,30-01-2015,23:00,110
speed,31-01-2015,02:00,4
direction,31-01-2015,02:00,110
speed,31-01-2015,05:00,3
direction,31-01-2015,05:00,120
speed,31-01-2015,08:00,2.5
direction,31-01-2015,08:00,120
speed,31-01-2015,11:00,3.5
direction,31-01-2015,11:00,200
speed,31-01-2015,14:00,3
direction,31-01-2015,14:00,250
